PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10107,0,0,-3.388,-96.647,-45.075,0,0,0,0
10108,0,0,-3.423,-98.068,-45.429,0,0,0,0
10109,0,0,-3.444,-99.057,-45.675,0,0,0,0
10110,0,0,-3.456,-100.533,-46.08,0,0,0,0
10111,0,0,-3.47,-102.096,-46.475,0,0,0,0
10112,0,0,-3.475,-103.632,-46.881,0,0,0,0
10113,0,0,-3.496,-105.115,-47.222,0,0,0,0
10114,0,0,-3.507,-106.876,-47.7,0,0,0,0
10115,0,0,-3.551,-108.492,-48.123,0,0,0,0
10116,0,0,-3.576,-109.856,-48.472,0,0,0,0
10117,0,0,-3.611,-111.376,-48.817,0,0,0,0
10118,0,0,-3.623,-113.083,-49.292,0,0,0,0
10119,0,0,-3.606,-114.483,-49.653,0,0,0,0
10120,0,0,-3.631,-116.347,-50.13,0,0,0,0
10121,0,0,-3.68,-117.886,-50.535,0,0,0,0
10122,0,0,-3.665,-119.501,-51.011,0,0,0,0
10123,0,0,-3.691,-121.108,-51.397,0,0,0,0
10124,0,0,-3.684,-122.613,-51.765,0,0,0,0
10125,0,0,-3.718,-124.307,-52.183,0,0,0,0
10126,0,0,-3.741,-125.758,-52.612,0,0,0,0
10127,0,0,-3.735,-127.522,-53.04,0,0,0,0
10128,0,0,-3.769,-129.073,-53.393,0,0,0,0
10129,0,0,-3.771,-130.508,-53.778,0,0,0,0
10130,0,0,-3.783,-131.531,-54.056,0,0,0,0
10131,0,0,-3.805,-132.948,-54.419,0,0,0,0
10132,0,0,-3.822,-134.04,-54.705,0,0,0,0
10133,0,0,-3.83,-135.43,-55.06,0,0,0,0
10134,0,0,-3.864,-137.127,-55.542,0,0,0,0
10135,0,0,-3.876,-138.682,-55.951,0,0,0,0
10136,0,0,-3.885,-140.289,-56.329,0,0,0,0
10137,0,0,-3.902,-141.92,-56.753,0,0,0,0
10138,0,0,-3.931,-143.309,-57.173,0,0,0,0
10139,0,0,-3.966,-145.048,-57.582,0,0,0,0
10140,0,0,-3.991,-146.726,-58.037,0,0,0,0
10141,0,0,-3.995,-148.279,-58.425,0,0,0,0
10142,0,0,-4.012,-149.72,-58.772,0,0,0,0
10143,0,0,-4.032,-151.359,-59.253,0,0,0,0
10144,0,0,-4.051,-152.352,-59.559,0,0,0,0
10145,0,0,-4.058,-153.859,-59.923,0,0,0,0
10146,0,0,-4.081,-155.332,-60.302,0,0,0,0
10147,0,0,-4.114,-156.845,-60.747,0,0,0,0
10148,0,0,-4.113,-157.958,-61.008,0,0,0,0
10149,0,0,-4.141,-159.446,-61.414,0,0,0,0
10150,0,0,-4.165,-160.89,-61.81,0,0,0,0
10151,0,0,-4.162,-162.473,-62.256,0,0,0,0
10152,0,0,-4.178,-163.466,-62.534,0,0,0,0
10153,0,0,-4.175,-164.774,-62.878,0,0,0,0
10154,0,0,-4.211,-166.376,-63.323,0,0,0,0
10155,0,0,-4.218,-167.933,-63.729,0,0,0,0
10156,0,0,-4.228,-169.733,-64.24,0,0,0,0
10157,0,0,-4.249,-171.367,-64.663,0,0,0,0
10158,0,0,-4.283,-172.734,-65.044,0,0,0,0
10159,0,0,-4.282,-174.484,-65.551,0,0,0,0
10160,0,0,-4.306,-176.175,-65.992,0,0,0,0
10161,0,0,-4.327,-177.154,-66.26,0,0,0,0
10162,0,0,-4.345,-178.679,-66.683,0,0,0,0
10163,0,0,-4.347,-180.245,-67.087,0,0,0,0
10164,0,0,-4.379,-181.338,-67.319,0,0,0,0
10165,0,0,-4.402,-183.107,-67.864,0,0,0,0
10166,0,0,-4.412,-184.941,-68.354,0,0,0,0
10167,0,0,-4.463,-186.585,-68.774,0,0,0,0
10168,0,0,-4.476,-188.182,-69.211,0,0,0,0
