PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2105,0,0,0.442,57.052,-7.604,0,0,0,0
2106,0,0,0.436,57.028,-8.716,0,0,0,0
2107,0,0,0.44,57.037,-9.764,0,0,0,0
2108,0,0,0.436,57.019,-10.879,0,0,0,0
2109,0,0,0.448,57.047,-11.91,0,0,0,0
2110,0,0,0.434,57.0,-13.039,0,0,0,0
2111,0,0,0.446,57.025,-14.115,0,0,0,0
2112,0,0,0.453,57.05,-15.293,0,0,0,0
2113,0,0,0.451,57.031,-16.409,0,0,0,0
2114,0,0,0.45,57.025,-17.575,0,0,0,0
2115,0,0,0.462,57.049,-18.62,0,0,0,0
2116,0,0,0.472,57.077,-19.817,0,0,0,0
2117,0,0,0.458,57.028,-20.866,0,0,0,0
2118,0,0,0.446,56.994,-22.093,0,0,0,0
2119,0,0,0.429,56.971,-23.223,0,0,0,0
2120,0,0,0.449,57.011,-24.409,0,0,0,0
2121,0,0,0.438,56.981,-25.57,0,0,0,0
2122,0,0,0.425,56.916,-26.612,0,0,0,0
2123,0,0,0.417,56.908,-27.718,0,0,0,0
2124,0,0,0.416,56.907,-28.851,0,0,0,0
2125,0,0,0.392,56.865,-29.946,0,0,0,0
2126,0,0,0.443,56.967,-31.023,0,0,0,0
2127,0,0,0.433,56.944,-32.128,0,0,0,0
2128,0,0,0.427,56.938,-33.199,0,0,0,0
2129,0,0,0.446,56.947,-34.222,0,0,0,0
2130,0,0,0.436,56.854,-35.283,0,0,0,0
2131,0,0,0.448,56.762,-36.301,0,0,0,0
2132,0,0,0.461,56.678,-37.318,0,0,0,0
2133,0,0,0.454,56.523,-38.319,0,0,0,0
2134,0,0,0.428,56.28,-39.362,0,0,0,0
2135,0,0,0.443,56.084,-40.361,0,0,0,0
2136,0,0,0.442,55.827,-41.332,0,0,0,0
2137,0,0,0.421,55.424,-42.385,0,0,0,0
2138,0,0,0.459,55.161,-43.388,0,0,0,0
2139,0,0,0.422,54.719,-44.365,0,0,0,0
2140,0,0,0.363,54.177,-45.29,0,0,0,0
2141,0,0,0.39,53.727,-46.224,0,0,0,0
2142,0,0,0.398,53.214,-47.158,0,0,0,0
2143,0,0,0.374,52.648,-47.993,0,0,0,0
2144,0,0,0.337,51.93,-48.81,0,0,0,0
2145,0,0,0.326,51.233,-49.595,0,0,0,0
2146,0,0,0.282,50.483,-50.314,0,0,0,0
2147,0,0,0.373,49.863,-51.154,0,0,0,0
2148,0,0,0.394,49.123,-51.844,0,0,0,0
2149,0,0,0.419,48.28,-52.541,0,0,0,0
2150,0,0,0.42,47.358,-53.155,0,0,0,0
2151,0,0,0.405,46.436,-53.69,0,0,0,0
2152,0,0,0.385,45.406,-54.18,0,0,0,0
2153,0,0,0.421,44.531,-54.65,0,0,0,0
2154,0,0,0.413,43.515,-55.034,0,0,0,0
2155,0,0,0.472,42.592,-55.456,0,0,0,0
2156,0,0,0.457,41.628,-55.741,0,0,0,0
2157,0,0,0.439,40.598,-55.929,0,0,0,0
