DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,1.6372753738945012,0,90000000000,0,0,2,2
10002,1,10002,1.6372753738945012,0,90000000000,0,0,2,2
10003,2,10003,1.44543313165326,0,-5.212616305550174,0,0,2,2
10004,3,10004,1.5841187818299665,0,7.210551334805362,0,0,2,2
10005,4,10005,1.4203800396493174,0,-6.107290105457898,0,0,2,2
10006,5,10006,1.724220851989949,0,3.291197098561317,0,0,2,2
10007,6,10007,1.6103704311550628,0,-8.783454577214702,0,0,2,2
10008,7,10008,1.4463969068864533,0,-6.098545508858322,0,0,2,2
10009,8,10009,1.5603798984753896,0,8.77323876185282,0,0,2,2
10010,9,10010,1.5655355496434862,0,193.9619201136123,0,0,2,2
10011,10,10011,1.5387386281603466,0,-37.3177195234606,0,0,2,2
10012,11,10012,1.6869266905541704,0,6.748181897016812,0,0,2,2
10013,12,10013,1.5116829641727965,0,-5.706338370274957,0,0,2,2
10014,13,10014,1.6698765168026375,0,6.321370140412181,0,0,2,2
10015,14,10015,1.532923220019653,0,-7.301759238294167,0,0,2,2
10016,15,10016,1.5482452684934278,0,65.26542464028859,0,0,2,2
10017,16,10017,1.6037839216314544,0,18.005478049940542,0,0,2,2
10018,17,10018,1.5812523268204315,0,-44.38212245458887,0,0,2,2
10019,18,10019,1.568979539913421,0,-81.48108555757426,0,0,2,2
10020,19,10020,1.6346910320810475,0,15.218038230650027,0,0,2,2
10021,20,10021,1.50062607450571,0,-7.459070722772972,0,0,2,2
10022,21,10022,1.586167979527807,0,11.690176875786005,0,0,2,2
10023,22,10023,1.5295127786484346,0,-17.65063020655692,0,0,2,2
10024,23,10024,1.5577999350268206,0,35.35173301350621,0,0,2,2
10025,24,10025,1.5459469596101132,0,-84.36700194201437,0,0,2,2
10026,25,10026,1.5698818448704448,0,41.78002063194956,0,0,2,2
10027,26,10027,1.5517523187060591,0,-55.158639609921934,0,0,2,2
10028,27,10028,1.5615356618341352,0,102.21454843285822,0,0,2,2
10029,28,10029,1.5720627438087567,0,94.99308568231758,0,0,2,2
10030,29,10030,1.5413925242681608,0,-32.604918222915686,0,0,2,2
10031,30,10031,1.5818131130153184,0,24.7398672556525,0,0,2,2
10032,31,10032,1.5508537699991891,0,-32.30042703034812,0,0,2,2
10033,32,10033,1.5493240694242691,0,-653.7227065187701,0,0,2,2
10034,33,10034,1.5497206255383096,0,2521.7112146152203,0,0,2,2
10035,34,10035,1.5542087308198504,0,222.81117248138122,0,0,2,2
10036,35,10036,1.5981393585684538,0,22.76316208642824,0,0,2,2
10037,36,10037,1.574918618542818,0,-43.06494964828818,0,0,2,2
10038,37,10038,1.572494303598883,0,-412.48766069019763,0,0,2,2
10039,38,10039,1.5858575968374855,0,74.83185335717258,0,0,2,2
10040,39,10040,1.5952820240019154,0,106.10724477496547,0,0,2,2
10041,40,10041,1.664672469184359,0,14.411206000635493,0,0,2,2
10042,41,10042,1.5522347631167808,0,-8.893813605544132,0,0,2,2
10043,42,10043,1.5988574498502468,0,21.448785346001827,0,0,2,2
10044,43,10044,1.7136253255921734,0,8.713239602418497,0,0,2,2
10045,44,10045,1.7128637837554737,0,-1313.1254933197804,0,0,2,2
10046,45,10046,1.7679286931671427,0,18.16038581892382,0,0,2,2
10047,46,10047,1.7613748740623727,0,-152.5827893650854,0,0,2,2
10048,47,10048,1.759769093029733,0,-622.74991401293,0,0,2,2
10049,48,10049,1.7493083497740658,0,-95.59550173055304,0,0,2,2
10050,49,10050,1.823755613738913,0,13.432327082862082,0,0,2,2
10051,50,10051,1.874949268141433,0,19.533670953382362,0,0,2,2
10052,51,10052,1.908988276963373,0,29.37805872171711,0,0,2,2
10053,52,10053,1.8810213007944783,0,-35.75645768641277,0,0,2,2
10054,53,10054,1.9679581027667106,0,11.502608530727883,0,0,2,2
10055,54,10055,2.0000370820265676,0,31.17306170808805,0,0,2,2
10056,55,10056,2.025940869411985,0,38.60439344722832,0,0,2,2
10057,56,10057,2.068057220925603,0,23.743747121035675,0,0,2,2
10058,57,10058,2.114084985126597,0,21.726017271514834,0,0,2,2
