PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10117,0,0,1.582,3.04,6.428,0,0,0,0
10118,0,0,1.564,3.096,6.454,0,0,0,0
10119,0,0,1.56,3.158,6.471,0,0,0,0
10120,0,0,1.55,3.207,6.48,0,0,0,0
10121,0,0,1.52,3.252,6.477,0,0,0,0
10122,0,0,1.593,3.307,6.508,0,0,0,0
10123,0,0,1.586,3.373,6.515,0,0,0,0
10124,0,0,1.582,3.438,6.509,0,0,0,0
10125,0,0,1.573,3.494,6.516,0,0,0,0
10126,0,0,1.614,3.531,6.51,0,0,0,0
10127,0,0,1.635,3.58,6.51,0,0,0,0
10128,0,0,1.599,3.645,6.497,0,0,0,0
10129,0,0,1.601,3.699,6.468,0,0,0,0
10130,0,0,1.648,3.75,6.449,0,0,0,0
10131,0,0,1.629,3.792,6.428,0,0,0,0
10132,0,0,1.579,3.825,6.395,0,0,0,0
10133,0,0,1.635,3.845,6.399,0,0,0,0
10134,0,0,1.632,3.891,6.376,0,0,0,0
10135,0,0,1.64,3.954,6.342,0,0,0,0
10136,0,0,1.614,4.046,6.315,0,0,0,0
10137,0,0,1.65,4.082,6.31,0,0,0,0
10138,0,0,1.659,4.113,6.267,0,0,0,0
10139,0,0,1.652,4.185,6.23,0,0,0,0
10140,0,0,1.692,4.23,6.21,0,0,0,0
10141,0,0,1.658,4.268,6.166,0,0,0,0
10142,0,0,1.641,4.273,6.114,0,0,0,0
10143,0,0,1.688,4.311,6.111,0,0,0,0
10144,0,0,1.695,4.367,6.094,0,0,0,0
10145,0,0,1.689,4.448,6.062,0,0,0,0
10146,0,0,1.665,4.481,6.033,0,0,0,0
10147,0,0,1.705,4.53,6.025,0,0,0,0
10148,0,0,1.709,4.58,6.013,0,0,0,0
10149,0,0,1.708,4.636,5.992,0,0,0,0
10150,0,0,1.666,4.668,5.958,0,0,0,0
10151,0,0,1.723,4.688,5.94,0,0,0,0
10152,0,0,1.755,4.736,5.923,0,0,0,0
10153,0,0,1.692,4.779,5.896,0,0,0,0
10154,0,0,1.688,4.829,5.866,0,0,0,0
10155,0,0,1.664,4.875,5.827,0,0,0,0
10156,0,0,1.666,4.922,5.803,0,0,0,0
10157,0,0,1.717,4.929,5.803,0,0,0,0
10158,0,0,1.737,4.987,5.778,0,0,0,0
10159,0,0,1.792,5.021,5.774,0,0,0,0
10160,0,0,1.74,5.048,5.749,0,0,0,0
10161,0,0,1.787,5.067,5.744,0,0,0,0
10162,0,0,1.719,5.099,5.718,0,0,0,0
10163,0,0,1.707,5.147,5.695,0,0,0,0
10164,0,0,1.74,5.184,5.682,0,0,0,0
10165,0,0,1.765,5.224,5.667,0,0,0,0
10166,0,0,1.748,5.268,5.641,0,0,0,0
10167,0,0,1.697,5.306,5.609,0,0,0,0
10168,0,0,1.717,5.37,5.579,0,0,0,0
10169,0,0,1.698,5.416,5.55,0,0,0,0
10170,0,0,1.771,5.434,5.557,0,0,0,0
10171,0,0,1.725,5.478,5.526,0,0,0,0
10172,0,0,1.727,5.538,5.49,0,0,0,0
10173,0,0,1.697,5.574,5.465,0,0,0,0
10174,0,0,1.712,5.614,5.437,0,0,0,0
10175,0,0,1.71,5.682,5.408,0,0,0,0
10176,0,0,1.704,5.723,5.373,0,0,0,0
10177,0,0,1.72,5.764,5.347,0,0,0,0
10178,0,0,1.751,5.821,5.329,0,0,0,0
10179,0,0,1.716,5.875,5.306,0,0,0,0
10180,0,0,1.753,5.913,5.282,0,0,0,0
10181,0,0,1.788,5.986,5.26,0,0,0,0
10182,0,0,1.765,6.035,5.211,0,0,0,0
10183,0,0,1.715,6.054,5.181,0,0,0,0
10184,0,0,1.767,6.052,5.209,0,0,0,0
10185,0,0,1.768,6.112,5.177,0,0,0,0
10186,0,0,1.794,6.155,5.163,0,0,0,0
10187,0,0,1.789,6.197,5.129,0,0,0,0
10188,0,0,1.779,6.241,5.098,0,0,0,0
10189,0,0,1.71,6.264,5.058,0,0,0,0
10190,0,0,1.769,6.313,5.047,0,0,0,0
10191,0,0,1.759,6.367,5.033,0,0,0,0
10192,0,0,1.711,6.393,5.013,0,0,0,0
10193,0,0,1.705,6.443,5.02,0,0,0,0
10194,0,0,1.759,6.464,5.022,0,0,0,0
10195,0,0,1.7,6.49,5.002,0,0,0,0
10196,0,0,1.762,6.549,4.97,0,0,0,0
10197,0,0,1.716,6.577,4.933,0,0,0,0
10198,0,0,1.764,6.605,4.93,0,0,0,0
10199,0,0,1.721,6.629,4.911,0,0,0,0
10200,0,0,1.761,6.694,4.884,0,0,0,0
10201,0,0,1.735,6.725,4.844,0,0,0,0
10202,0,0,1.681,6.747,4.82,0,0,0,0
10203,0,0,1.74,6.741,4.848,0,0,0,0
10204,0,0,1.794,6.757,4.866,0,0,0,0
10205,0,0,1.689,6.759,4.849,0,0,0,0
10206,0,0,1.726,6.82,4.799,0,0,0,0
10207,0,0,1.79,6.854,4.786,0,0,0,0
10208,0,0,1.722,6.856,4.784,0,0,0,0
10209,0,0,1.782,6.885,4.761,0,0,0,0
10210,0,0,1.762,6.928,4.704,0,0,0,0
10211,0,0,1.691,6.891,4.75,0,0,0,0
10212,0,0,1.734,6.874,4.794,0,0,0,0
10213,0,0,1.736,6.913,4.744,0,0,0,0
10214,0,0,1.704,6.945,4.69,0,0,0,0
10215,0,0,1.803,6.955,4.725,0,0,0,0
10216,0,0,1.84,6.997,4.704,0,0,0,0
10217,0,0,1.773,7.002,4.69,0,0,0,0
10218,0,0,1.808,7.055,4.645,0,0,0,0
10219,0,0,1.768,7.08,4.625,0,0,0,0
10220,0,0,1.699,7.11,4.559,0,0,0,0
10221,0,0,1.77,7.118,4.551,0,0,0,0
10222,0,0,1.712,7.11,4.536,0,0,0,0
10223,0,0,1.725,7.074,4.578,0,0,0,0
10224,0,0,1.754,7.118,4.533,0,0,0,0
10225,0,0,1.699,7.192,4.424,0,0,0,0
10226,0,0,1.683,7.223,4.34,0,0,0,0
10227,0,0,1.732,7.194,4.419,0,0,0,0
10228,0,0,1.791,7.226,4.351,0,0,0,0
10229,0,0,1.765,7.259,4.304,0,0,0,0
10230,0,0,1.753,7.287,4.248,0,0,0,0
10231,0,0,1.785,7.307,4.211,0,0,0,0
10232,0,0,1.751,7.316,4.145,0,0,0,0
10233,0,0,1.724,7.286,4.233,0,0,0,0
10234,0,0,1.775,7.299,4.239,0,0,0,0
10235,0,0,1.738,7.326,4.165,0,0,0,0
10236,0,0,1.77,7.307,4.216,0,0,0,0
10237,0,0,1.82,7.295,4.235,0,0,0,0
10238,0,0,1.713,7.303,4.18,0,0,0,0
10239,0,0,1.762,7.328,4.152,0,0,0,0
10240,0,0,1.728,7.336,4.116,0,0,0,0
10241,0,0,1.759,7.327,4.061,0,0,0,0
10242,0,0,1.739,7.337,3.999,0,0,0,0
10243,0,0,1.799,7.364,3.954,0,0,0,0
10244,0,0,1.737,7.354,3.944,0,0,0,0
10245,0,0,1.733,7.36,3.881,0,0,0,0
10246,0,0,1.758,7.357,3.838,0,0,0,0
10247,0,0,1.775,7.359,3.77,0,0,0,0
10248,0,0,1.716,7.364,3.715,0,0,0,0
